"","LTED_2","LTED_5","LTED_10","LTED_30","LTED_60","LTED_120","TAMR_2","TAMR_5","TAMR_10","TAMR_30","TAMR_60","TAMR_120","WT_2","WT_5","WT_10","WT_30","WT_60","WT_120"
"ABL1",0.102137571366292,1.22506954321649,0.258769118228674,0.89388115368687,0.495070897281697,1.37718462221301,1.14598138128526,1.55877841653064,-0.385593724339952,0.572867268881904,0.283258178338758,-0.468392127931479,2.03554857701262,0.729509092034045,-0.190164573685861,0.484330100287601,0.665264266886023,0.187916326150218
"AKT1",3.26709106230103,8.66008267145183,7.77118477535238,6.56811425203542,5.77460903088497,2.29589498019227,4.89341283095558,5.34635743077645,7.46841722127453,6.80236381026204,6.16931142347111,3.4257151471538,5.74396009984107,9.17177250495533,8.88364373251147,5.63614277177921,5.03979395624001,3.61371502605748
"AKT2",2.56237074572034,3.22386561803874,3.80839257440901,3.48699611433916,3.72546253633318,2.34521469163335,-0.284724280662294,2.80236234179874,2.65536757381195,3.00616918677503,2.83988715742293,2.06804743070296,4.61992690278315,5.38350701330161,4.52488986283426,4.38605841993946,4.40042595925197,2.4265578717903
"AKT3",0.305185934356216,0.874639534946001,1.93164606222841,1.22513507347173,1.9125643099693,0.14027242883824,0.353212266691767,0.140037203381693,1.33364611594657,0.841286788743482,1.13423726474197,1.39663732941712,1.33137972728988,1.80175599020768,3.06981488557577,1.88028800940937,-0.398781259705978,1.06052260700951
"ARAF",6.44751387752469,7.03610029625148,5.03414686794363,3.40450326929957,4.05180299719044,1.7544779344491,3.81617817286009,5.46160155573522,6.42105210312012,4.44586013754286,4.90293612478812,3.58893580823998,5.03744608547157,4.41055819998002,1.58626805008743,0.755058022002883,0.299987836868849,-0.0205548047562328
"ATM",-1.53703863317797,-1.18136136002064,-0.787663231711765,-0.752930266900353,-2.45311109873052,-2.91311137189284,0.893140568768905,0.506773980463923,0.151252259507948,-1.17356850814212,-0.141410999257472,0.446391003297739,-2.55007867334582,-2.05597937005871,-1.77268148441732,-2.67867144892293,-0.804955337015061,-0.614769000295912
"ATR",0.228172905527124,-0.828957627819197,-1.13757280454297,-0.0115606749772304,0.808516683635064,0.948702782673688,0.880828071522202,-0.0775627122556741,0.332588448387374,0.679637108404912,0.969435709293617,0.689705542715138,0.305025655163746,0.3224659343516,0.0574229309052629,0.0685460786521057,0.31750051751562,-0.28723335239677
"AURKA",1.01652229206266,1.08170130184016,1.73648239974209,1.08391854883259,0.718507086646496,0.967124626198581,1.92900499878799,2.2764552417749,3.18646621452155,2.97770978835036,2.25831526877772,1.34309006027514,3.05807430149513,1.68275501811357,3.17941080722318,2.14323329398047,1.69546451120148,1.73959384192061
"AURKB",2.25991314534491,2.69991857045023,2.01603330397806,2.18579604418417,2.21660385450083,1.01000855237028,1.60067341111249,2.44057233255419,2.10265512579545,1.6741577161186,0.8926946700075,-0.151935594403107,2.42374142279271,2.38350077334173,1.82820348801123,1.81006485565611,2.54137930294802,2.30460738896151
"BRAF",5.95215233601885,6.93555171633468,5.50923228496661,4.23132348767485,4.56643789903823,2.80248853135374,2.63539499055322,5.22768667244238,6.91003970068756,4.73739505804032,4.81141444111452,3.02560866181716,7.25983831112666,7.58391511203134,6.04158991798712,5.80740497293085,4.23641007898143,4.1605321717195
"BUB1",-0.0932496535936538,-0.371636761968457,-2.13926308924885,-1.61941051030709,-1.97040188537338,-1.37240947561188,2.52587442127576,-0.181766604578767,0.554409493880756,-0.103220180705656,0.21370202351385,0.00206719824115229,-0.221470667953578,0.884201577206746,1.25028380667009,1.54264349896972,1.22500545497418,1.2316519922463
"CAMK2A",-1.35952763237006,-1.02267510511106,-0.878385724760934,0.363785422876027,-0.69386365864548,0.296692056437428,0.853134786305024,2.14630579452483,-0.0608263217719292,1.47341790021508,0.731389264801365,0.94933698292925,0.00221430543467492,-1.04750581718773,-1.12016546683925,-0.96678390800894,-1.28155398765867,-0.127716074397816
"CAMK2B",-1.38524671921142,-1.4241399698655,-0.07880805714011,-0.227631620467663,0.227007539783878,-0.751974509047932,1.59766169911161,2.5145358142987,0.368058511425523,0.64618356012791,-0.230478412814077,-0.967877382163521,0.0445988626089182,0.118263640537092,-0.47450317346552,0.160842349285244,-0.382647556046291,-0.273421910435241
"CAMK2D",-0.668878392274118,-0.897458438262555,-0.803516143411804,-0.855043224012033,-1.12386071485752,-0.551370435925392,1.24782680653824,1.92510582023922,-1.37669230187157,-0.469032726890483,-0.84882464645583,-2.23378853938117,-0.0360620089370719,-1.54597349852864,-1.81576097526882,-1.38602978836228,-2.04432445803436,-1.70954045488879
"CAMK2G",-1.70728898088729,-1.88564624011413,-0.875114326684245,-1.26507083625118,-1.15031056826764,-1.06369436430177,0.522192657218196,1.49066166558421,-0.316607742670126,-0.0255202016257571,-0.520848143256049,-0.951527533448281,-1.40141444909891,-0.547948021729554,-1.10221906030708,-0.93995099610798,-1.30750502156609,-0.970532724688023
"CAMK4",-0.414188660088731,-0.628696352206237,-0.231387160870576,-0.564165857723335,-0.337691953224147,-0.3064456328757,2.81212573059419,3.51636030419241,0.833397363430372,1.43203572655464,0.0150050018446473,-0.0954857013216902,-0.310782769184807,-0.233347335140868,-1.15053473092036,-0.542413605840754,-2.27870378642276,-1.17068006978857
"CCNA2",-1.2950990357064,-0.965957582363456,-1.04782573051152,-0.461871330392284,-1.47031831988288,-0.47754777762512,-1.52167620809195,-2.31116476469335,-0.994360697861804,-1.83340777390889,-0.725275304348839,-0.979088963978361,-0.703702020723891,-1.39630766296099,0.300110244550061,-0.784712544453866,0.176885833248198,1.05290558633129
"CCNB1",-0.759618456043786,-1.55837261852506,-0.312430632244519,-1.20522461095653,-0.380239698976876,0.843817922700845,-0.764701827388132,-0.961865532704965,-1.25634083194992,-1.78739132189866,-1.14413580276637,-0.849734680433841,0.818714932315633,-0.966799479278753,-2.00561329984516,-1.05480231555639,0.640449964142976,-0.298673605469684
"CCND1",-0.56976233254658,0.602811904081032,0.537779727696586,0.0989955391666242,0.710739553483274,1.55312775224139,0.342520090386902,NA,-1.6492400959029,-0.915570801752625,0.810664727904659,-0.055914943504232,-1.07680503399153,-0.537608080032405,-0.505732528150669,-0.990906001788104,2.23428078931525,2.81839506241956
"CCNE2",0.0462341129395969,0.408962067519775,1.19446759734082,0.507772507863738,1.77737496083995,1.06913578977799,0.892773438645361,0.0666487797364524,-0.176337565698877,0.287732082415866,0.56079588470979,0.29008418183418,0.181112114475355,0.236953292750299,-0.184196843087858,0.0763985145419902,0.788777126938032,0.0779226012492921
"CDC7",-1.66247607893835,-1.34972039828814,-1.1719877917145,-1.25459249867976,-1.29808066235661,0.83683368449365,-1.99058400921973,-1.79549657807415,-1.4483550744868,-1.49794500923399,-1.86609262037588,-1.22509857042191,-0.476229564919838,-1.07184184000146,-1.32353731021449,-1.43068001308453,0.10885407424607,0.572772936790055
"CDK1",0.885718681813711,0.295501324248723,0.509735154130052,0.441860607091299,-0.643655754411113,0.51386534972924,-0.405864709666663,-2.4702521342841,-0.458730949811789,-1.18697563010121,-1.11472315248388,-1.16303180117953,0.396964858146621,-0.959187277745395,-1.00156912089816,-1.66472471556355,-0.0787586351535419,0.539375793418168
"CDK10",-0.00256620099083238,-0.65973060349168,-0.883745209165149,-0.40308779215047,-0.989595200812318,0.0458845154541631,0.581747624987702,0.322570976385851,0.0215370339530403,0.890201514059967,0.154951200281935,0.365222492480257,0.284411338695027,-0.220331380476288,-1.02056809849066,-0.661516559649925,0.592101849188398,0.904235197504539
